time,G(i),H_sun,T2m,WS10m,Int
20190101:10:00,0.0,0.0,06.01,1.45,0.0
20190102:50:00,0.0,0.0,6.3,1.45,0.0
20190104:30:00,0.0,0.0,6.44,1.45,0.0
20190106:10:00,0.0,0.0,6.61,1.45,0.0
20190107:50:00,0.0,0.0,6.61,1.45,0.0
20190109:30:00,0.0,0.0,5.96,1.52,0.0
20190111:10:00,0.0,0.0,4.79,1.66,0.0
20190112:50:00,0.0,0.0,2.81,1.66,0.0
20190114:30:00,0.0,0.0,3.22,1.59,0.0
20190116:10:00,408.88,10.77,3.91,1.52,0.0
20190117:50:00,658.85,18.31,7.57,0.76,0.0
20190119:30:00,811.62,23.75,12.62,0.76,0.0
20190121:10:00,903.13,26.54,14.01,0.69,0.0
20190122:50:00,889.76,26.32,14.75,0.62,0.0
20190124:30:00,824.72,23.1,15.02,0.83,0.0
20190126:10:00,628.42,17.31,14.78,01.03,0.0
20190127:50:00,400.08,9.51,14.0,1.1,0.0
20190129:30:00,0.0,0.0,12.26,1.1,0.0
20190131:10:00,0.0,0.0,10.67,0.76,0.0
20190132:50:00,0.0,0.0,9.36,0.76,0.0
20190134:30:00,0.0,0.0,8.63,0.83,0.0
20190136:10:00,0.0,0.0,08.04,0.9,0.0
20190137:50:00,0.0,0.0,7.39,1.17,0.0
20190139:30:00,0.0,0.0,5.98,1.31,0.0
20190102:10:00,0.0,0.0,5.7,1.24,0.0
20190103:50:00,0.0,0.0,4.57,1.38,0.0
20190105:30:00,0.0,0.0,3.69,1.45,0.0
20190107:10:00,0.0,0.0,3.42,1.45,0.0
20190108:50:00,0.0,0.0,3.71,1.31,0.0
20190110:30:00,0.0,0.0,3.91,1.31,0.0
20190112:10:00,0.0,0.0,3.15,1.45,0.0
20190113:50:00,0.0,0.0,2.13,1.38,0.0
20190115:30:00,0.0,0.0,2.14,1.38,0.0
20190117:10:00,398.85,10.77,2.81,1.24,0.0
20190118:50:00,648.24,18.33,6.88,0.69,0.0
20190120:30:00,797.07,23.8,11.09,0.9,0.0
20190122:10:00,890.83,26.62,12.54,01.03,0.0
20190123:50:00,877.02,26.42,13.14,1.31,0.0
20190125:30:00,793.99,23.22,13.17,1.66,0.0
20190127:10:00,625.48,17.43,12.9,1.66,0.0
20190128:50:00,381.95,9.64,12.29,1.31,0.0
20190130:30:00,0.0,0.0,10.77,1.45,0.0
20190132:10:00,0.0,0.0,8.48,1.72,0.0
20190133:50:00,0.0,0.0,6.4,2.0,0.0
20190135:30:00,0.0,0.0,4.86,2.21,0.0
20190137:10:00,0.0,0.0,3.86,2.34,0.0
20190138:50:00,0.0,0.0,3.14,2.34,0.0
20190140:30:00,0.0,0.0,2.59,2.41,0.0
20190103:10:00,0.0,0.0,2.11,2.41,0.0
20190104:50:00,0.0,0.0,1.61,2.34,0.0
20190106:30:00,0.0,0.0,01.01,2.21,0.0
20190108:10:00,0.0,0.0,0.53,2.14,0.0
20190109:50:00,0.0,0.0,0.15,2.14,0.0
20190111:30:00,0.0,0.0,-0.16,2.14,0.0
20190113:10:00,0.0,0.0,-0.32,2.21,0.0
20190114:50:00,0.0,0.0,-0.71,2.14,0.0
20190116:30:00,0.0,0.0,-0.96,2.14,0.0
20190118:10:00,410.15,10.78,0.68,1.79,0.0
20190119:50:00,656.04,18.37,6.32,1.59,0.0
20190121:30:00,807.75,23.86,9.97,1.52,0.0
20190123:10:00,892.94,26.7,11.72,1.72,0.0
20190124:50:00,881.0,26.52,12.61,2.0,0.0
20190126:30:00,797.9,23.34,13.03,2.0,0.0
20190128:10:00,629.73,17.57,13.07,1.79,0.0
20190129:50:00,392.69,9.78,12.58,1.1,0.0
20190131:30:00,0.0,0.0,11.07,01.03,0.0
20190133:10:00,0.0,0.0,8.21,1.38,0.0
20190134:50:00,0.0,0.0,6.5,1.45,0.0
20190136:30:00,0.0,0.0,05.03,1.59,0.0
20190138:10:00,0.0,0.0,3.69,1.79,0.0
20190139:50:00,0.0,0.0,2.51,1.86,0.0
20190141:30:00,0.0,0.0,1.53,1.93,0.0
20190104:10:00,0.0,0.0,0.75,1.93,0.0
20190105:50:00,0.0,0.0,0.23,2.0,0.0
20190107:30:00,0.0,0.0,-0.09,2.0,0.0
20190109:10:00,0.0,0.0,-0.35,1.93,0.0
20190110:50:00,0.0,0.0,-0.54,1.86,0.0
20190112:30:00,0.0,0.0,-0.55,1.86,0.0
20190114:10:00,0.0,0.0,-0.55,1.86,0.0
20190115:50:00,0.0,0.0,-0.76,1.86,0.0
20190117:30:00,0.0,0.0,-0.84,1.86,0.0
20190119:10:00,378.0,10.8,0.94,1.38,0.0
20190120:50:00,651.29,18.41,6.68,0.97,0.0
20190122:30:00,803.69,23.93,9.99,1.45,0.0
20190124:10:00,897.07,26.79,11.09,1.59,0.0
20190125:50:00,854.93,26.63,11.9,2.0,0.0
20190127:30:00,809.97,23.47,12.34,02.07,0.0
20190129:10:00,542.79,17.7,12.45,1.79,0.0
20190130:50:00,327.39,9.92,12.08,0.97,0.0
20190132:30:00,0.0,0.0,10.92,0.41,0.0
20190134:10:00,0.0,0.0,9.78,0.76,0.0
20190135:50:00,0.0,0.0,7.19,1.24,0.0
20190137:30:00,0.0,0.0,5.94,1.38,0.0
20190139:10:00,0.0,0.0,4.9,1.52,0.0
20190140:50:00,0.0,0.0,3.6,1.66,0.0
20190142:30:00,0.0,0.0,2.33,1.86,0.0
20190105:10:00,0.0,0.0,1.43,1.93,0.0
20190106:50:00,0.0,0.0,0.83,1.93,0.0
20190108:30:00,0.0,0.0,0.39,1.86,0.0
20190110:10:00,0.0,0.0,0.01,1.79,0.0
20190111:50:00,0.0,0.0,-0.25,1.79,0.0
20190113:30:00,0.0,0.0,-0.43,1.79,0.0
20190115:10:00,0.0,0.0,-0.67,1.86,0.0
20190116:50:00,0.0,0.0,-1.58,1.93,0.0
20190118:30:00,0.0,0.0,-1.55,1.93,0.0
20190120:10:00,424.43,10.83,0.14,1.52,0.0
20190121:50:00,674.45,18.45,5.4,0.9,0.0
20190123:30:00,823.57,24.0,10.4,0.69,0.0
20190125:10:00,902.83,26.89,11.98,0.48,0.0
20190126:50:00,907.37,26.75,12.83,0.41,0.0
20190128:30:00,824.98,23.6,13.28,0.76,0.0
20190130:10:00,649.96,17.85,13.3,0.97,0.0
20190131:50:00,419.15,10.06,12.8,0.9,0.0
20190133:30:00,0.0,0.0,11.08,0.97,0.0
20190135:10:00,0.0,0.0,9.28,01.03,0.0
20190136:50:00,0.0,0.0,7.99,1.17,0.0
20190138:30:00,0.0,0.0,6.14,1.38,0.0
20190140:10:00,0.0,0.0,4.63,1.59,0.0
20190141:50:00,0.0,0.0,3.28,1.72,0.0
20190143:30:00,0.0,0.0,1.89,1.93,0.0
20190106:10:00,0.0,0.0,0.86,02.07,0.0
